V201119,V201156,V201157,V201208,V201212,V201233,V201246,V201249,V201252,V201255,V201258,V201262,V201350,V201365,V201366,V201368,V201377,V201626,V201651
3,63,60,3,5,2,5,4,5,5,3,3,5,2,5,4,3,2,3
3,50,70,5,5,2,3,4,5,3,3,3,5,3,4,4,4,3,3
3,50,60,5,5,3,3,5,5,5,3,5,5,3,4,4,4,3,3
3,75,75,5,5,3,5,5,3,3,2,3,5,3,4,4,4,2,3
3,70,50,5,5,2,3,3,5,5,2,5,5,3,5,4,4,3,3
3,70,75,3,5,2,5,4,3,3,3,3,5,2,5,4,3,2,3
3,60,75,2,5,2,5,3,4,5,2,5,5,2,4,4,3,3,3
3,65,70,3,5,2,3,4,5,3,3,3,5,3,4,4,2,3,3
3,75,75,5,5,3,4,4,3,3,3,5,5,3,4,4,4,2,3
3,70,50,3,5,2,5,3,5,3,5,5,5,2,4,4,2,3,3
3,70,70,3,5,2,3,3,5,3,3,3,5,3,5,4,3,2,3
3,60,65,3,5,2,5,3,5,3,3,2,5,3,5,4,4,4,3
3,50,50,3,5,2,3,5,5,3,3,5,5,3,4,4,3,3,3
3,75,60,3,5,2,5,3,5,3,3,3,5,3,4,4,4,3,3
3,50,75,5,5,2,5,5,5,3,2,3,5,3,5,4,4,2,3
3,50,65,3,5,2,5,3,5,3,3,3,5,3,4,4,3,1,3
4,70,65,3,5,2,5,4,5,3,2,3,5,3,4,4,3,2,3
3,50,60,3,5,2,5,3,5,5,3,5,5,3,4,4,3,2,3
3,75,50,5,5,2,3,3,5,3,3,3,5,3,5,4,4,2,3
3,50,70,5,5,2,5,3,5,3,3,5,5,3,4,4,4,3,3
2,70,75,2,5,2,3,4,5,4,3,5,5,3,4,4,4,3,3
3,75,75,5,5,2,4,3,3,5,3,3,5,3,4,4,4,3,3
4,75,65,5,5,2,3,5,5,3,2,3,5,3,5,4,3,3,3
3,65,60,5,5,2,4,4,4,5,2,3,5,3,5,4,4,2,3
3,75,75,3,5,2,5,3,5,3,3,6,3,3,4,4,4,4,2
3,75,50,3,5,2,3,5,3,5,3,3,5,3,4,4,4,4,3
2,70,70,5,5,2,4,3,3,5,3,3,5,3,5,4,4,4,3
3,70,60,2,5,2,3,3,5,5,3,5,5,3,4,4,3,2,3
3,75,50,3,5,2,3,4,3,3,3,5,5,2,4,4,3,3,3
3,50,50,3,5,2,4,4,5,3,3,5,5,3,4,4,4,3,3
4,60,75,3,5,2,3,4,3,5,3,5,5,3,5,4,4,2,2
2,50,65,3,5,2,3,4,3,3,2,3,5,3,4,4,2,4,3
3,65,75,3,5,2,3,5,4,3,3,5,5,3,4,4,2,2,3
3,50,70,3,5,2,3,4,3,3,3,5,5,3,5,4,4,3,3
3,65,70,3,5,2,5,4,5,3,3,3,5,3,4,4,4,2,2
3,70,50,3,5,2,5,5,5,4,3,3,5,3,4,4,4,2,3
2,50,50,3,5,2,3,4,5,5,4,5,5,3,4,4,3,3,3
2,50,70,5,5,2,3,3,5,6,4,3,5,3,4,4,3,3,3
3,50,75,3,5,3,5,5,5,4,3,3,5,3,5,4,4,2,3
3,75,75,5,5,4,4,5,5,5,4,5,5,3,4,4,3,2,3
3,70,60,3,5,2,3,4,5,3,3,3,5,3,4,4,3,2,3
4,50,70,5,5,2,5,3,5,3,3,4,5,3,4,4,3,2,3
3,50,75,5,5,3,3,5,3,3,3,5,5,3,4,4,4,3,2
3,70,75,3,5,2,5,5,5,5,2,3,5,3,5,4,4,3,3
3,70,70,3,5,2,5,3,5,4,3,5,5,3,4,4,4,3,3
3,70,70,3,5,2,3,4,5,3,3,3,5,3,4,4,2,3,3
3,65,50,5,5,2,4,3,5,4,3,5,5,3,4,4,4,3,3
3,75,70,3,5,2,3,3,5,3,2,5,5,2,4,4,3,3,3
3,70,50,5,5,2,5,4,5,3,3,5,5,3,5,4,4,4,3
3,75,70,3,5,2,4,5,3,5,3,3,5,3,4,4,4,3,3
3,70,65,5,5,3,4,5,4,5,3,4,5,2,4,4,3,3,2
3,50,75,3,5,3,5,3,5,3,3,4,5,3,5,4,4,3,3
3,70,70,3,5,3,4,5,5,3,3,5,5,3,5,4,2,2,3
3,50,50,5,5,2,4,5,5,3,2,5,5,2,4,4,3,4,2
3,50,55,3,5,2,5,3,5,3,3,5,5,3,4,4,3,3,2
