,leaning,abortion,gunrights,taxwaste,riotsolution,govservices,healthservices
7713,6,1,3,3,4,4,3
1187,6,2,3,1,6,5,1
5790,6,1,1,1,2,4,3
2590,6,1,3,1,7,2,3
1204,6,3,1,1,4,3,1
4338,6,2,3,1,1,7,1
74,6,2,3,1,7,3,1
6374,6,2,1,2,4,4,3
2241,6,4,3,2,6,4,1
5852,6,1,1,1,4,5,1
1214,6,1,2,1,7,2,3
6600,6,2,3,2,7,5,1
150,6,2,1,2,6,2,3
8050,6,4,3,1,7,1,2
7815,6,2,3,1,7,3,3
15,6,3,2,1,6,4,1
2766,6,4,3,1,6,1,3
7577,6,2,3,1,7,2,1
7397,6,2,3,1,6,3,3
8049,6,2,3,1,6,4,3
2063,6,4,3,1,4,4,3
3429,6,1,3,1,7,1,1
1682,6,4,3,1,7,5,1
291,6,1,2,1,4,4,2
7207,6,2,2,1,7,7,1
4070,6,1,2,1,6,1,3
6577,6,1,3,1,7,3,3
7017,6,2,3,1,7,1,2
977,6,2,3,1,2,5,3
4763,6,1,3,2,7,4,2
3338,6,3,3,1,6,4,3
909,6,2,1,1,4,2,1
2123,6,2,1,1,7,3,2
7334,6,2,3,1,6,3,3
617,6,2,3,1,5,3,3
6203,6,2,1,1,2,3,1
2731,6,1,3,1,7,5,3
2963,6,1,3,2,7,4,3
1898,6,3,3,1,7,3,3
5747,6,3,1,1,4,2,2
6983,6,3,3,1,6,2,1
8278,6,3,3,1,7,2,2
2272,6,2,1,1,7,3,2
156,6,2,3,1,6,1,3
6151,6,2,3,1,7,2,3
5994,6,2,3,1,7,4,2
7879,6,4,1,1,4,2,2
714,6,2,3,1,7,1,2
2689,6,1,2,1,7,1,2
1989,6,2,2,1,7,1,3
6879,6,4,1,2,5,6,1
5200,6,4,3,1,7,4,3
3805,6,4,3,1,6,4,3
7013,6,3,2,1,4,3,3
5761,6,1,3,1,4,1,2
6588,6,2,3,1,6,3,3
6748,6,3,3,2,4,3,2
5152,6,2,3,2,5,3,2
4250,6,2,3,1,7,4,2
1778,6,2,3,1,7,4,3
6504,6,2,3,1,7,4,2
6624,6,1,2,1,7,1,2
3184,6,2,3,1,4,2,2
1153,6,2,3,1,7,4,1
6480,6,2,3,1,7,1,2
4664,6,2,3,1,7,1,3
6383,6,4,3,1,7,6,3
4915,6,1,3,1,7,4,3
7822,6,4,3,1,7,4,3
7897,6,3,3,1,4,4,1
255,6,1,3,1,7,1,2
104,6,1,3,1,7,3,2
5287,6,3,3,2,5,3,3
5754,6,3,3,1,6,2,3
1031,6,2,3,1,7,3,3
6798,6,1,2,1,6,2,3
5298,6,2,1,1,4,5,1
6023,6,2,3,1,5,3,3
2368,6,2,1,1,4,1,3
4602,6,2,1,1,4,3,1
3345,6,3,1,1,6,4,3
1533,6,1,3,1,6,5,2
5166,6,2,1,1,4,7,1
4966,6,2,3,1,7,1,3
5241,6,2,1,1,5,3,3
7627,6,2,2,1,7,2,3
7906,6,4,1,1,4,5,3
2140,6,1,3,1,7,3,3
2976,6,2,3,1,7,1,3
3593,6,2,2,1,7,3,3
8083,6,1,3,2,4,4,3
361,6,1,1,2,4,5,1
874,6,1,3,1,5,3,3
5984,6,3,1,1,1,7,3
6315,6,1,3,2,7,2,2
356,6,3,3,1,7,3,2
3510,6,2,3,1,6,2,3
3090,6,4,3,1,4,1,2
6941,6,2,3,1,7,5,2
4412,6,2,1,1,5,4,3
